
Integration time [ms]:  90,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
326,670;  538,050;    0,000;    0,000
326,688;  578,750;    0,000;    0,000
326,706;  632,250;    0,000;    0,000
326,724;  664,450;    0,000;    0,000
326,743;  720,850;    0,000;    0,000
326,761;  711,050;    0,000;    0,000
326,779;  624,000;    0,000;    0,000
326,797;  659,500;    0,000;    0,000
326,815;  650,950;    0,000;    0,000
326,833;  556,000;    0,000;    0,000
326,852;  638,050;    0,000;    0,000
326,870;  672,850;    0,000;    0,000
326,888;  738,000;    0,000;    0,000
326,906;  759,400;    0,000;    0,000
326,924;  729,250;    0,000;    0,000
326,942;  747,850;    0,000;    0,000
326,960;  804,250;    0,000;    0,000
326,979;  741,650;    0,000;    0,000
326,997;  620,550;    0,000;    0,000
327,015;  506,450;    0,000;    0,000
327,033;  488,000;    0,000;    0,000
327,051;  543,900;    0,000;    0,000
327,069;  517,700;    0,000;    0,000
327,087;  651,600;    0,000;    0,000
327,105;  680,550;    0,000;    0,000
327,123;  637,600;    0,000;    0,000
327,142;  583,850;    0,000;    0,000
327,160;  629,100;    0,000;    0,000
327,178;  646,700;    0,000;    0,000
327,196;  761,550;    0,000;    0,000
327,214; 1004,150;    0,000;    0,000
327,232; 1025,500;    0,000;    0,000
327,250;  852,600;    0,000;    0,000
327,268;  735,000;    0,000;    0,000
327,286;  533,050;    0,000;    0,000
327,304;  415,250;    0,000;    0,000
327,323;  417,150;    0,000;    0,000
327,341;  530,450;    0,000;    0,000
327,359;  585,200;    0,000;    0,000
327,377;  363,300;    0,000;    0,000
327,395;  421,550;    0,000;    0,000
327,413;  317,000;    0,000;    0,000
327,431;  386,100;    0,000;    0,000
327,449;  394,550;    0,000;    0,000
327,467;  433,500;    0,000;    0,000
327,485;  477,300;    0,000;    0,000
327,503;  399,200;    0,000;    0,000
327,521;  297,900;    0,000;    0,000
327,539;  320,700;    0,000;    0,000
327,557;  298,850;    0,000;    0,000
327,575;  280,350;    0,000;    0,000
327,593;  261,700;    0,000;    0,000
327,612;  187,000;    0,000;    0,000
327,630;  243,400;    0,000;    0,000
327,648;  182,900;    0,000;    0,000
327,666;  161,950;    0,000;    0,000
327,684;  173,300;    0,000;    0,000
327,702;  140,350;    0,000;    0,000
327,720;  141,200;    0,000;    0,000
327,738;  168,100;    0,000;    0,000
327,756;  167,400;    0,000;    0,000
327,774;  163,950;    0,000;    0,000
327,792;  207,450;    0,000;    0,000
327,810;  184,200;    0,000;    0,000
327,828;  152,750;    0,000;    0,000
327,846;  156,400;    0,000;    0,000
327,864;  156,950;    0,000;    0,000
327,882;  139,900;    0,000;    0,000
327,900;  168,300;    0,000;    0,000
327,918;  209,400;    0,000;    0,000
327,936;  138,050;    0,000;    0,000
327,954;  171,750;    0,000;    0,000
327,972;  169,900;    0,000;    0,000
327,990;   80,600;    0,000;    0,000
328,008;  141,100;    0,000;    0,000
328,026;  107,550;    0,000;    0,000
328,044;   96,350;    0,000;    0,000
328,062;   89,950;    0,000;    0,000
328,080;  115,950;    0,000;    0,000
328,098;  129,150;    0,000;    0,000
328,116;  110,400;    0,000;    0,000
328,134;   68,700;    0,000;    0,000
328,152;   65,900;    0,000;    0,000
328,170;   32,250;    0,000;    0,000
328,188;   35,300;    0,000;    0,000
328,206;  105,300;    0,000;    0,000
328,224;  121,550;    0,000;    0,000
328,242;   57,050;    0,000;    0,000
328,260;   75,400;    0,000;    0,000
328,277;   92,350;    0,000;    0,000
328,295;  107,350;    0,000;    0,000
328,313;   54,550;    0,000;    0,000
328,331;   95,000;    0,000;    0,000
328,349;   32,250;    0,000;    0,000
328,367;   65,250;    0,000;    0,000
328,385;   43,750;    0,000;    0,000
328,403;  108,200;    0,000;    0,000
328,421;   52,250;    0,000;    0,000
328,439;   45,000;    0,000;    0,000
328,457;   71,750;    0,000;    0,000
328,475;   66,950;    0,000;    0,000
328,493;   66,400;    0,000;    0,000
328,511;   49,400;    0,000;    0,000
328,529;   44,150;    0,000;    0,000
328,546;   53,100;    0,000;    0,000
328,564;   49,850;    0,000;    0,000
328,582;   16,550;    0,000;    0,000
328,600;   32,000;    0,000;    0,000
328,618;   81,950;    0,000;    0,000
328,636;   72,750;    0,000;    0,000
328,654;   56,150;    0,000;    0,000
328,672;   45,200;    0,000;    0,000
328,690;   25,450;    0,000;    0,000
328,708;   73,750;    0,000;    0,000
328,725;   69,000;    0,000;    0,000
328,743;   48,600;    0,000;    0,000
328,761;   78,850;    0,000;    0,000
328,779;   76,950;    0,000;    0,000
328,797;   78,400;    0,000;    0,000
328,815;   71,100;    0,000;    0,000
328,833;   44,500;    0,000;    0,000
328,851;   91,250;    0,000;    0,000
328,869;   69,250;    0,000;    0,000
328,886;   27,200;    0,000;    0,000
328,904;   28,000;    0,000;    0,000
328,922;   64,200;    0,000;    0,000
328,940;   48,050;    0,000;    0,000
328,958;   18,050;    0,000;    0,000
328,976;   77,950;    0,000;    0,000
328,994;  107,200;    0,000;    0,000
329,011;   39,650;    0,000;    0,000
329,029;   33,700;    0,000;    0,000
329,047;   49,900;    0,000;    0,000
329,065;   35,850;    0,000;    0,000
329,083;   66,750;    0,000;    0,000
329,101;   61,700;    0,000;    0,000
329,118;   57,250;    0,000;    0,000
329,136;   63,850;    0,000;    0,000
329,154;   38,950;    0,000;    0,000
329,172;   75,350;    0,000;    0,000
329,190;   17,650;    0,000;    0,000
329,208;   20,450;    0,000;    0,000
329,225;  130,800;    0,000;    0,000
329,243;   13,550;    0,000;    0,000
329,261;   74,600;    0,000;    0,000
329,279;   21,000;    0,000;    0,000
329,297;   62,100;    0,000;    0,000
329,315;   47,550;    0,000;    0,000
329,332;   62,100;    0,000;    0,000
329,350;   39,250;    0,000;    0,000
329,368;   50,700;    0,000;    0,000
329,386;   37,750;    0,000;    0,000
329,404;   46,050;    0,000;    0,000
329,421;   41,850;    0,000;    0,000
329,439;   58,750;    0,000;    0,000
329,457;   39,100;    0,000;    0,000
329,475;   35,600;    0,000;    0,000
329,492;   62,700;    0,000;    0,000
329,510;    7,350;    0,000;    0,000
329,528;   86,200;    0,000;    0,000
329,546;  102,900;    0,000;    0,000
329,564;    0,200;    0,000;    0,000
329,581;   35,950;    0,000;    0,000
329,599;   64,000;    0,000;    0,000
329,617;  -14,800;    0,000;    0,000
329,635;   33,200;    0,000;    0,000
329,652;   24,300;    0,000;    0,000
329,670;    6,300;    0,000;    0,000
329,688;   36,500;    0,000;    0,000
329,706;   13,550;    0,000;    0,000
329,723;   92,850;    0,000;    0,000
329,741;   40,650;    0,000;    0,000
329,759;   39,100;    0,000;    0,000
329,777;   57,850;    0,000;    0,000
329,794;   49,750;    0,000;    0,000
329,812;   21,650;    0,000;    0,000
329,830;   70,150;    0,000;    0,000
329,848;   57,450;    0,000;    0,000
329,865;  123,700;    0,000;    0,000
329,883;    1,250;    0,000;    0,000
329,901;   70,900;    0,000;    0,000
329,919;   72,500;    0,000;    0,000
329,936;   31,150;    0,000;    0,000
329,954;   32,650;    0,000;    0,000
329,972;   34,500;    0,000;    0,000
329,989;   34,800;    0,000;    0,000
330,007;   64,150;    0,000;    0,000
330,025;   12,750;    0,000;    0,000
330,043;   -0,150;    0,000;    0,000
330,060;   55,500;    0,000;    0,000
330,078;    2,650;    0,000;    0,000
330,096;  -15,450;    0,000;    0,000
330,113;   75,200;    0,000;    0,000
330,131;   27,550;    0,000;    0,000
330,149;  105,800;    0,000;    0,000
330,166;  -20,400;    0,000;    0,000
330,184;   13,950;    0,000;    0,000
330,202;   26,250;    0,000;    0,000
330,220;   13,250;    0,000;    0,000
330,237;   -1,300;    0,000;    0,000
330,255;   52,700;    0,000;    0,000
330,273;   75,700;    0,000;    0,000
330,290;   -5,300;    0,000;    0,000
330,308;   46,300;    0,000;    0,000
330,326;   78,050;    0,000;    0,000
330,343;   48,350;    0,000;    0,000
330,361;   42,250;    0,000;    0,000
330,379;   19,650;    0,000;    0,000
330,396;    5,750;    0,000;    0,000
330,414;   77,450;    0,000;    0,000
330,432;   15,400;    0,000;    0,000
330,449;   15,850;    0,000;    0,000
330,467;   14,150;    0,000;    0,000
330,484;   37,100;    0,000;    0,000
330,502;   16,250;    0,000;    0,000
330,520;   13,000;    0,000;    0,000
330,537;   34,600;    0,000;    0,000
330,555;   83,400;    0,000;    0,000
330,573;   57,850;    0,000;    0,000
330,590;  100,150;    0,000;    0,000
330,608;   75,500;    0,000;    0,000
330,626;   33,750;    0,000;    0,000
330,643;   73,400;    0,000;    0,000
330,661;   63,150;    0,000;    0,000
330,678;   10,350;    0,000;    0,000
